Index,Date,Departure Time,Arrivel Time,Price
125,2017-10-06,9:50 am,2:15 pm,$26
126,2017-10-06,3:30 pm,7:40 pm,$26
127,2017-10-06,3:30 pm,7:40 pm,$36
128,2017-10-06,4:30 pm,8:49 pm,$36
129,2017-10-07,7:45 am,11:05 am,$26
130,2017-10-07,9:50 am,2:15 pm,$25
131,2017-10-07,3:30 pm,7:10 pm,$24
132,2017-10-07,3:30 pm,7:10 pm,$34
133,2017-10-08,7:45 am,11:05 am,$26
134,2017-10-08,9:50 am,2:15 pm,$24
135,2017-10-08,3:30 pm,7:44 pm,$34
136,2017-10-08,4:30 pm,8:15 pm,$34
137,2017-10-08,4:30 pm,8:15 pm,$44
138,2017-10-09,7:45 am,11:05 am,$26
139,2017-10-09,9:50 am,2:15 pm,$25
140,2017-10-09,3:30 pm,7:10 pm,$24
141,2017-10-09,3:30 pm,7:10 pm,$34
142,2017-10-10,7:45 am,11:05 am,$26
143,2017-10-10,9:50 am,2:15 pm,$25
144,2017-10-10,3:30 pm,7:10 pm,$24
145,2017-10-10,3:30 pm,7:10 pm,$34
146,2017-10-11,7:45 am,11:05 am,$26
147,2017-10-11,9:50 am,2:15 pm,$24
148,2017-10-11,3:30 pm,7:10 pm,$24
149,2017-10-11,3:30 pm,7:10 pm,$34
150,2017-10-12,7:45 am,11:05 am,$26
151,2017-10-12,9:50 am,2:15 pm,$24
152,2017-10-12,3:30 pm,7:10 pm,$24
153,2017-10-12,3:30 pm,7:10 pm,$34
154,2017-10-13,7:45 am,11:05 am,$26
155,2017-10-13,9:50 am,2:15 pm,$24
156,2017-10-13,3:30 pm,7:40 pm,$34
157,2017-10-13,3:30 pm,7:40 pm,$44
158,2017-10-13,4:30 pm,8:49 pm,$34
159,2017-10-14,7:45 am,11:05 am,$26
160,2017-10-14,9:50 am,2:15 pm,$25
161,2017-10-14,3:30 pm,7:10 pm,$24
162,2017-10-14,3:30 pm,7:10 pm,$34
163,2017-10-15,7:45 am,11:05 am,$26
164,2017-10-15,9:50 am,2:15 pm,$25
165,2017-10-15,3:30 pm,7:44 pm,$34
166,2017-10-15,4:30 pm,8:15 pm,$34
167,2017-10-15,4:30 pm,8:15 pm,$44
168,2017-10-16,7:45 am,11:05 am,$26
169,2017-10-16,9:50 am,2:15 pm,$25
170,2017-10-16,3:30 pm,7:10 pm,$24
171,2017-10-16,3:30 pm,7:10 pm,$34
172,2017-10-17,7:45 am,11:05 am,$26
173,2017-10-17,9:50 am,2:15 pm,$24
174,2017-10-17,3:30 pm,7:10 pm,$24
175,2017-10-17,3:30 pm,7:10 pm,$34
176,2017-10-18,7:45 am,11:05 am,$26
177,2017-10-18,9:50 am,2:15 pm,$24
178,2017-10-18,3:30 pm,7:10 pm,$24
179,2017-10-18,3:30 pm,7:10 pm,$34
180,2017-10-19,7:45 am,11:05 am,$26
181,2017-10-19,9:50 am,2:15 pm,$24
182,2017-10-19,3:30 pm,7:10 pm,$24
183,2017-10-19,3:30 pm,7:10 pm,$34
184,2017-10-20,7:45 am,11:05 am,$26
185,2017-10-20,9:50 am,2:15 pm,$25
186,2017-10-20,3:30 pm,7:40 pm,$24
187,2017-10-20,3:30 pm,7:40 pm,$34
188,2017-10-20,4:30 pm,8:49 pm,$38
189,2017-10-21,7:45 am,11:05 am,$26
190,2017-10-21,9:50 am,2:15 pm,$24
191,2017-10-21,3:30 pm,7:10 pm,$24
192,2017-10-21,3:30 pm,7:10 pm,$34
193,2017-10-22,7:45 am,11:05 am,$26
194,2017-10-22,9:50 am,2:15 pm,$25
195,2017-10-23,7:45 am,11:05 am,$26
196,2017-10-23,9:50 am,2:15 pm,$25
197,2017-10-23,3:30 pm,7:10 pm,$24
198,2017-10-23,3:30 pm,7:10 pm,$34
199,2017-10-23,3:30 pm,7:44 pm,$34
200,2017-10-23,4:30 pm,8:15 pm,$25
201,2017-10-23,4:30 pm,8:15 pm,$35
202,2017-10-24,7:45 am,11:05 am,$26
203,2017-10-24,9:50 am,2:15 pm,$25
204,2017-10-24,3:30 pm,7:10 pm,$24
205,2017-10-24,3:30 pm,7:10 pm,$34
206,2017-10-25,7:45 am,11:05 am,$26
207,2017-10-25,9:50 am,2:15 pm,$24
208,2017-10-25,3:30 pm,7:10 pm,$24
209,2017-10-25,3:30 pm,7:10 pm,$34
210,2017-10-26,7:45 am,11:05 am,$26
211,2017-10-26,9:50 am,2:15 pm,$25
212,2017-10-26,3:30 pm,7:10 pm,$24
213,2017-10-26,3:30 pm,7:10 pm,$34
214,2017-10-27,7:45 am,11:05 am,$26
215,2017-10-27,9:50 am,2:15 pm,$25
216,2017-10-27,3:30 pm,7:40 pm,$34
217,2017-10-27,3:30 pm,7:40 pm,$44
218,2017-10-27,4:30 pm,8:49 pm,$25
219,2017-10-28,7:45 am,11:05 am,$26
220,2017-10-28,9:50 am,2:15 pm,$24
221,2017-10-28,3:30 pm,7:10 pm,$24
222,2017-10-28,3:30 pm,7:10 pm,$34
223,2017-10-29,7:45 am,11:05 am,$26
224,2017-10-29,9:50 am,2:15 pm,$24
225,2017-10-29,3:30 pm,7:44 pm,$34
226,2017-10-29,4:30 pm,8:15 pm,$34
227,2017-10-29,4:30 pm,8:15 pm,$44
228,2017-10-30,7:45 am,11:05 am,$26
229,2017-10-30,9:50 am,2:15 pm,$24
230,2017-10-30,3:30 pm,7:10 pm,$24
231,2017-10-30,3:30 pm,7:10 pm,$34
232,2017-10-31,7:45 am,11:05 am,$26
233,2017-10-31,9:50 am,2:15 pm,$25
234,2017-10-31,3:30 pm,7:10 pm,$24
235,2017-10-31,3:30 pm,7:10 pm,$34
236,2017-11-01,7:45 am,11:05 am,$26
237,2017-11-01,9:50 am,2:15 pm,$24
238,2017-11-01,3:30 pm,7:10 pm,$24
239,2017-11-01,3:30 pm,7:10 pm,$34
240,2017-11-02,7:45 am,11:05 am,$26
241,2017-11-02,9:50 am,2:15 pm,$24
242,2017-11-02,3:30 pm,7:10 pm,$24
243,2017-11-02,3:30 pm,7:10 pm,$34
244,2017-11-03,7:45 am,11:05 am,$26
245,2017-11-03,9:50 am,2:15 pm,$25
246,2017-11-03,3:30 pm,7:40 pm,$25
247,2017-11-03,3:30 pm,7:40 pm,$35
248,2017-11-03,4:30 pm,8:49 pm,$25
249,2017-11-04,7:45 am,11:05 am,$26
250,2017-11-04,9:50 am,2:15 pm,$24
251,2017-11-04,3:30 pm,7:10 pm,$24
252,2017-11-04,3:30 pm,7:10 pm,$34
253,2017-11-05,7:45 am,11:05 am,$26
254,2017-11-05,9:50 am,2:15 pm,$24
255,2017-11-05,3:30 pm,7:44 pm,$34
256,2017-11-05,4:30 pm,8:15 pm,$34
257,2017-11-05,4:30 pm,8:15 pm,$44
258,2017-11-06,7:45 am,11:05 am,$26
259,2017-11-06,9:50 am,2:15 pm,$24
260,2017-11-06,3:30 pm,7:10 pm,$24
261,2017-11-06,3:30 pm,7:10 pm,$34
262,2017-11-07,7:45 am,11:05 am,$26
263,2017-11-07,9:50 am,2:15 pm,$24
264,2017-11-07,3:30 pm,7:10 pm,$1
265,2017-11-07,3:30 pm,7:10 pm,$34
266,2017-11-08,7:45 am,11:05 am,$26
267,2017-11-08,9:50 am,2:15 pm,$24
268,2017-11-08,3:30 pm,7:10 pm,$24
269,2017-11-08,3:30 pm,7:10 pm,$34
270,2017-11-09,7:45 am,11:05 am,$26
271,2017-11-09,9:50 am,2:15 pm,$24
272,2017-11-09,3:30 pm,7:10 pm,$24
273,2017-11-09,3:30 pm,7:10 pm,$34
274,2017-11-10,7:45 am,11:05 am,$26
275,2017-11-10,9:50 am,2:15 pm,$24
276,2017-11-10,3:30 pm,7:40 pm,$25
277,2017-11-10,3:30 pm,7:40 pm,$35
278,2017-11-10,4:30 pm,8:49 pm,$25
279,2017-11-11,7:45 am,11:05 am,$26
280,2017-11-11,9:50 am,2:15 pm,$24
281,2017-11-11,3:30 pm,7:10 pm,$24
282,2017-11-11,3:30 pm,7:10 pm,$34
283,2017-11-12,7:45 am,11:05 am,$26
284,2017-11-12,9:50 am,2:15 pm,$24
285,2017-11-12,3:30 pm,7:44 pm,$34
286,2017-11-12,4:30 pm,8:15 pm,$24
287,2017-11-12,4:30 pm,8:15 pm,$34
288,2017-11-13,7:45 am,11:05 am,$26
289,2017-11-13,9:50 am,2:15 pm,$24
290,2017-11-13,3:30 pm,7:10 pm,$24
291,2017-11-13,3:30 pm,7:10 pm,$34
292,2017-11-14,7:45 am,11:05 am,$26
293,2017-11-14,9:50 am,2:15 pm,$24
294,2017-11-14,3:30 pm,7:10 pm,$24
295,2017-11-14,3:30 pm,7:10 pm,$34
296,2017-11-15,7:45 am,11:05 am,$26
297,2017-11-15,9:50 am,2:15 pm,$24
298,2017-11-15,3:30 pm,7:10 pm,$1
299,2017-11-15,3:30 pm,7:10 pm,$34
300,2017-11-16,7:45 am,11:05 am,$26
301,2017-11-16,9:50 am,2:15 pm,$1
302,2017-11-16,3:30 pm,7:10 pm,$24
303,2017-11-16,3:30 pm,7:10 pm,$34
304,2017-11-17,7:45 am,11:05 am,$26
305,2017-11-17,9:50 am,2:15 pm,$24
306,2017-11-17,3:30 pm,7:40 pm,$25
307,2017-11-17,3:30 pm,7:40 pm,$35
308,2017-11-17,4:30 pm,8:49 pm,$25
309,2017-11-18,7:45 am,11:05 am,$26
310,2017-11-18,9:50 am,2:15 pm,$24
311,2017-11-18,3:30 pm,7:10 pm,$24
312,2017-11-18,3:30 pm,7:10 pm,$34
313,2017-11-19,7:45 am,11:05 am,$26
314,2017-11-19,9:50 am,2:15 pm,$24
315,2017-11-19,3:30 pm,7:44 pm,$34
316,2017-11-19,4:30 pm,8:15 pm,$24
