Index,Date,Weekday,Departure Time,Arrivel Time,Price
104,2017-10-30,Monday,7:30 am,9:40 am,$17
105,2017-10-30,Monday,7:30 am,9:40 am,$29
106,2017-10-30,Monday,9:50 am,12:10 pm,$15
107,2017-10-30,Monday,11:00 am,1:15 pm,$15
108,2017-10-30,Monday,2:00 pm,4:10 pm,$14
109,2017-10-30,Monday,2:00 pm,4:10 pm,$24
110,2017-10-30,Monday,3:30 pm,5:35 pm,$15
111,2017-10-30,Monday,3:30 pm,5:35 pm,$30
112,2017-10-30,Monday,7:00 pm,9:19 pm,$25
113,2017-10-30,Monday,7:00 pm,9:19 pm,$35
114,2017-10-31,Tuesday,7:30 am,9:40 am,$17
115,2017-10-31,Tuesday,7:30 am,9:40 am,$29
116,2017-10-31,Tuesday,9:50 am,12:10 pm,$16
117,2017-10-31,Tuesday,11:00 am,1:15 pm,$15
118,2017-10-31,Tuesday,2:00 pm,4:10 pm,$14
119,2017-10-31,Tuesday,2:00 pm,4:10 pm,$24
120,2017-10-31,Tuesday,3:30 pm,5:35 pm,$15
121,2017-10-31,Tuesday,3:30 pm,5:35 pm,$30
122,2017-10-31,Tuesday,7:00 pm,9:19 pm,$25
123,2017-10-31,Tuesday,7:00 pm,9:19 pm,$35
124,2017-11-01,Wednesday,7:30 am,9:40 am,$17
125,2017-11-01,Wednesday,7:30 am,9:40 am,$29
126,2017-11-01,Wednesday,9:50 am,12:10 pm,$15
127,2017-11-01,Wednesday,11:00 am,1:15 pm,$18
128,2017-11-01,Wednesday,2:00 pm,4:10 pm,$14
129,2017-11-01,Wednesday,2:00 pm,4:10 pm,$24
130,2017-11-01,Wednesday,3:30 pm,5:35 pm,$15
131,2017-11-01,Wednesday,3:30 pm,5:35 pm,$30
132,2017-11-01,Wednesday,7:00 pm,9:19 pm,$25
133,2017-11-01,Wednesday,7:00 pm,9:19 pm,$35
134,2017-11-02,Thursday,7:30 am,9:40 am,$17
135,2017-11-02,Thursday,7:30 am,9:40 am,$29
136,2017-11-02,Thursday,9:50 am,12:10 pm,$15
137,2017-11-02,Thursday,11:00 am,1:15 pm,$15
138,2017-11-02,Thursday,2:00 pm,4:10 pm,$14
139,2017-11-02,Thursday,2:00 pm,4:10 pm,$24
140,2017-11-02,Thursday,3:30 pm,5:35 pm,$15
141,2017-11-02,Thursday,3:30 pm,5:35 pm,$30
142,2017-11-02,Thursday,7:00 pm,9:19 pm,$25
143,2017-11-02,Thursday,7:00 pm,9:19 pm,$35
144,2017-11-03,Friday,7:30 am,9:40 am,$17
145,2017-11-03,Friday,7:30 am,9:40 am,$29
146,2017-11-03,Friday,9:50 am,12:10 pm,$16
147,2017-11-03,Friday,11:00 am,1:15 pm,$15
148,2017-11-03,Friday,2:00 pm,4:10 pm,$1
149,2017-11-03,Friday,2:00 pm,4:10 pm,$24
150,2017-11-03,Friday,3:30 pm,5:55 pm,$16
151,2017-11-03,Friday,3:30 pm,5:55 pm,$30
152,2017-11-03,Friday,4:30 pm,7:10 pm,$16
153,2017-11-03,Friday,7:00 pm,9:19 pm,$25
154,2017-11-03,Friday,7:00 pm,9:19 pm,$35
155,2017-11-04,Saturday,7:30 am,9:40 am,$17
156,2017-11-04,Saturday,7:30 am,9:40 am,$29
157,2017-11-04,Saturday,9:50 am,12:10 pm,$15
158,2017-11-04,Saturday,11:00 am,1:15 pm,$15
159,2017-11-04,Saturday,2:00 pm,4:10 pm,$14
160,2017-11-04,Saturday,2:00 pm,4:10 pm,$24
161,2017-11-04,Saturday,3:30 pm,5:35 pm,$15
162,2017-11-04,Saturday,3:30 pm,5:35 pm,$30
163,2017-11-04,Saturday,7:00 pm,9:19 pm,$25
164,2017-11-04,Saturday,7:00 pm,9:19 pm,$35
165,2017-11-05,Sunday,7:30 am,9:40 am,$17
166,2017-11-05,Sunday,7:30 am,9:40 am,$29
167,2017-11-05,Sunday,9:50 am,12:10 pm,$15
168,2017-11-05,Sunday,11:00 am,1:15 pm,$15
169,2017-11-05,Sunday,2:00 pm,4:10 pm,$14
170,2017-11-05,Sunday,2:00 pm,4:10 pm,$24
171,2017-11-05,Sunday,3:30 pm,5:40 pm,$22
172,2017-11-05,Sunday,4:30 pm,6:45 pm,$22
173,2017-11-05,Sunday,4:30 pm,6:45 pm,$32
174,2017-11-05,Sunday,7:00 pm,9:19 pm,$25
175,2017-11-05,Sunday,7:00 pm,9:19 pm,$35
176,2017-11-06,Monday,7:30 am,9:40 am,$17
177,2017-11-06,Monday,7:30 am,9:40 am,$29
178,2017-11-06,Monday,9:50 am,12:10 pm,$15
179,2017-11-06,Monday,11:00 am,1:15 pm,$15
180,2017-11-06,Monday,2:00 pm,4:10 pm,$1
181,2017-11-06,Monday,2:00 pm,4:10 pm,$24
182,2017-11-06,Monday,3:30 pm,5:35 pm,$15
183,2017-11-06,Monday,3:30 pm,5:35 pm,$30
184,2017-11-06,Monday,7:00 pm,9:19 pm,$25
185,2017-11-06,Monday,7:00 pm,9:19 pm,$35
186,2017-11-07,Tuesday,7:30 am,9:40 am,$17
187,2017-11-07,Tuesday,7:30 am,9:40 am,$29
188,2017-11-07,Tuesday,9:50 am,12:10 pm,$15
189,2017-11-07,Tuesday,11:00 am,1:15 pm,$15
190,2017-11-07,Tuesday,2:00 pm,4:10 pm,$14
191,2017-11-07,Tuesday,2:00 pm,4:10 pm,$24
192,2017-11-07,Tuesday,3:30 pm,5:35 pm,$1
193,2017-11-07,Tuesday,3:30 pm,5:35 pm,$30
194,2017-11-07,Tuesday,7:00 pm,9:19 pm,$25
195,2017-11-07,Tuesday,7:00 pm,9:19 pm,$35
196,2017-11-08,Wednesday,7:30 am,9:40 am,$17
197,2017-11-08,Wednesday,7:30 am,9:40 am,$29
198,2017-11-08,Wednesday,9:50 am,12:10 pm,$15
199,2017-11-08,Wednesday,11:00 am,1:15 pm,$15
200,2017-11-08,Wednesday,2:00 pm,4:10 pm,$14
201,2017-11-08,Wednesday,2:00 pm,4:10 pm,$24
202,2017-11-08,Wednesday,3:30 pm,5:35 pm,$15
203,2017-11-08,Wednesday,3:30 pm,5:35 pm,$30
204,2017-11-08,Wednesday,7:00 pm,9:19 pm,$25
205,2017-11-08,Wednesday,7:00 pm,9:19 pm,$35
206,2017-11-09,Thursday,7:30 am,9:40 am,$17
207,2017-11-09,Thursday,7:30 am,9:40 am,$29
208,2017-11-09,Thursday,9:50 am,12:10 pm,$15
209,2017-11-09,Thursday,11:00 am,1:15 pm,$15
210,2017-11-09,Thursday,2:00 pm,4:10 pm,$14
211,2017-11-09,Thursday,2:00 pm,4:10 pm,$24
212,2017-11-09,Thursday,3:30 pm,5:35 pm,$15
213,2017-11-09,Thursday,3:30 pm,5:35 pm,$30
214,2017-11-09,Thursday,7:00 pm,9:19 pm,$25
215,2017-11-09,Thursday,7:00 pm,9:19 pm,$35
216,2017-11-10,Friday,7:30 am,9:40 am,$17
217,2017-11-10,Friday,7:30 am,9:40 am,$29
218,2017-11-10,Friday,9:50 am,12:10 pm,$15
219,2017-11-10,Friday,11:00 am,1:15 pm,$15
220,2017-11-10,Friday,2:00 pm,4:10 pm,$14
221,2017-11-10,Friday,2:00 pm,4:10 pm,$24
222,2017-11-10,Friday,3:30 pm,5:55 pm,$16
223,2017-11-10,Friday,3:30 pm,5:55 pm,$30
224,2017-11-10,Friday,4:30 pm,7:10 pm,$16
225,2017-11-10,Friday,7:00 pm,9:19 pm,$25
226,2017-11-10,Friday,7:00 pm,9:19 pm,$35
227,2017-11-11,Saturday,7:30 am,9:40 am,$17
228,2017-11-11,Saturday,7:30 am,9:40 am,$29
229,2017-11-11,Saturday,9:50 am,12:10 pm,$15
230,2017-11-11,Saturday,11:00 am,1:15 pm,$15
231,2017-11-11,Saturday,2:00 pm,4:10 pm,$1
232,2017-11-11,Saturday,2:00 pm,4:10 pm,$24
233,2017-11-11,Saturday,3:30 pm,5:35 pm,$15
234,2017-11-11,Saturday,3:30 pm,5:35 pm,$30
235,2017-11-11,Saturday,7:00 pm,9:19 pm,$25
236,2017-11-11,Saturday,7:00 pm,9:19 pm,$35
237,2017-11-12,Sunday,7:30 am,9:40 am,$17
238,2017-11-12,Sunday,7:30 am,9:40 am,$29
239,2017-11-12,Sunday,9:50 am,12:10 pm,$15
240,2017-11-12,Sunday,11:00 am,1:15 pm,$15
241,2017-11-12,Sunday,2:00 pm,4:10 pm,$14
242,2017-11-12,Sunday,2:00 pm,4:10 pm,$24
243,2017-11-12,Sunday,3:30 pm,5:40 pm,$22
244,2017-11-12,Sunday,4:30 pm,6:45 pm,$15
245,2017-11-12,Sunday,4:30 pm,6:45 pm,$30
246,2017-11-12,Sunday,7:00 pm,9:19 pm,$25
247,2017-11-12,Sunday,7:00 pm,9:19 pm,$35
248,2017-11-13,Monday,7:30 am,9:40 am,$17
249,2017-11-13,Monday,7:30 am,9:40 am,$29
250,2017-11-13,Monday,9:50 am,12:10 pm,$15
251,2017-11-13,Monday,11:00 am,1:15 pm,$15
252,2017-11-13,Monday,2:00 pm,4:10 pm,$14
253,2017-11-13,Monday,2:00 pm,4:10 pm,$24
254,2017-11-13,Monday,3:30 pm,5:35 pm,$15
255,2017-11-13,Monday,3:30 pm,5:35 pm,$30
256,2017-11-13,Monday,7:00 pm,9:19 pm,$25
257,2017-11-13,Monday,7:00 pm,9:19 pm,$35
258,2017-11-14,Tuesday,7:30 am,9:40 am,$17
259,2017-11-14,Tuesday,7:30 am,9:40 am,$29
260,2017-11-14,Tuesday,9:50 am,12:10 pm,$15
261,2017-11-14,Tuesday,11:00 am,1:15 pm,$15
262,2017-11-14,Tuesday,2:00 pm,4:10 pm,$14
263,2017-11-14,Tuesday,2:00 pm,4:10 pm,$24
264,2017-11-14,Tuesday,3:30 pm,5:35 pm,$15
265,2017-11-14,Tuesday,3:30 pm,5:35 pm,$30
266,2017-11-14,Tuesday,7:00 pm,9:19 pm,$25
267,2017-11-14,Tuesday,7:00 pm,9:19 pm,$35
268,2017-11-15,Wednesday,7:30 am,9:40 am,$17
269,2017-11-15,Wednesday,7:30 am,9:40 am,$29
270,2017-11-15,Wednesday,9:50 am,12:10 pm,$15
271,2017-11-15,Wednesday,11:00 am,1:15 pm,$15
272,2017-11-15,Wednesday,2:00 pm,4:10 pm,$14
273,2017-11-15,Wednesday,2:00 pm,4:10 pm,$24
274,2017-11-15,Wednesday,3:30 pm,5:35 pm,$1
275,2017-11-15,Wednesday,3:30 pm,5:35 pm,$30
276,2017-11-15,Wednesday,7:00 pm,9:19 pm,$25
277,2017-11-15,Wednesday,7:00 pm,9:19 pm,$35
278,2017-11-16,Thursday,7:30 am,9:40 am,$17
